Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_cls,D/loss_gp,D/loss_dom,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom
0:13:36,13700,-0.1573,-0.1428,0.0299,0.0034,0.0828,0.1300,0.0531,0.0293,0.7754
0:13:40,13800,-0.1085,-0.1899,0.0684,0.0038,0.1553,0.2138,0.0523,0.1408,0.2719
0:13:45,13900,-0.1980,-0.2109,0.0151,0.0158,0.0645,0.3396,0.0594,0.0468,0.6943
0:13:50,14000,-0.1280,-0.2273,0.0722,0.0052,0.0216,0.2539,0.0487,0.3682,0.6494
0:14:06,14100,-0.2421,-0.1977,0.0460,0.0022,0.0008,0.1948,0.0574,0.0377,0.3351
0:14:10,14200,-0.0766,-0.3005,0.1253,0.0025,0.0646,0.3161,0.0592,0.0424,0.2802
0:14:15,14300,-0.0773,-0.2335,0.0170,0.0085,0.0025,0.2430,0.0477,0.0300,0.1575
0:14:19,14400,-0.1479,-0.2074,0.0009,0.0034,0.0353,0.1646,0.0567,0.0964,0.0813
0:14:24,14500,-0.1364,-0.2019,0.0014,0.0058,0.0319,0.1848,0.0530,0.0089,0.2535
0:14:28,14600,-0.1593,-0.2228,0.0242,0.0036,0.0768,0.2438,0.0604,0.2571,0.5001
0:14:33,14700,-0.1237,-0.1401,0.0097,0.0037,0.0069,0.1577,0.0509,0.0236,0.1267
0:14:38,14800,-0.1620,-0.1890,0.0151,0.0052,0.0659,0.2077,0.0566,0.0373,1.1425
0:14:42,14900,-0.0910,-0.2126,0.0087,0.0076,0.3529,0.2541,0.0533,0.0457,0.4977
0:14:47,15000,-0.1066,-0.2399,0.1286,0.0066,0.0154,0.2415,0.0570,0.0059,0.5512
0:15:03,15100,-0.2966,-0.1270,0.1746,0.0045,0.0203,0.1260,0.0599,0.1546,0.1665
0:15:07,15200,-0.0792,-0.2427,0.0906,0.0062,0.0269,0.1929,0.0520,0.0306,0.0759
0:15:12,15300,-0.1149,-0.2397,0.0053,0.0077,0.4657,0.1632,0.0581,0.3432,0.3963
0:15:17,15400,-0.1355,-0.1872,0.2245,0.0048,0.0519,0.1773,0.0576,0.0203,0.3346
0:15:22,15500,-0.2332,-0.1446,0.0045,0.0048,0.0330,0.1698,0.0565,0.0209,0.4470
0:15:26,15600,-0.1590,-0.2692,0.0087,0.0027,0.0179,0.2803,0.0594,0.1871,0.2407
0:15:31,15700,-0.1900,-0.1949,0.0268,0.0035,0.0292,0.2306,0.0541,0.1382,0.8219
0:15:35,15800,-0.1192,-0.2740,0.0065,0.0060,0.0651,0.2610,0.0620,0.1549,0.1917
0:15:40,15900,-0.0760,-0.2358,0.2147,0.0111,0.0911,0.1772,0.0483,0.0551,1.2002
0:15:45,16000,-0.1494,-0.1205,0.0152,0.0031,0.0247,0.1382,0.0481,0.0677,0.4218
0:16:00,16100,-0.1679,-0.1082,0.0583,0.0099,0.0621,0.0473,0.0469,0.3252,1.9391
0:16:04,16200,-0.0659,-0.2338,0.0212,0.0055,0.0202,0.2664,0.0491,0.0128,0.1166
0:16:09,16300,-0.0972,-0.1656,0.0054,0.0040,0.0257,0.1813,0.0468,0.0153,0.1018
0:16:14,16400,-0.2710,-0.0614,0.0075,0.0037,0.0118,0.0594,0.0528,0.0044,0.2872
0:16:18,16500,-0.2065,-0.1422,0.1409,0.0060,0.0577,0.1610,0.0555,0.0056,0.3294
0:16:23,16600,-0.2808,-0.1619,0.0021,0.0022,0.0267,0.1703,0.0604,0.0643,0.2450
0:16:28,16700,-0.1203,-0.1739,0.0106,0.0041,0.0715,0.1529,0.0473,0.0954,0.6459
0:16:32,16800,-0.2148,-0.1859,0.0410,0.0025,0.0053,0.1808,0.0547,0.0324,0.0945
0:16:37,16900,-0.0762,-0.3105,0.0026,0.0033,0.0029,0.3306,0.0534,0.2075,0.3120
0:16:41,17000,-0.0927,-0.1997,0.0102,0.0040,0.0503,0.2224,0.0455,0.0614,0.0779
0:16:57,17100,0.0309,-0.3222,0.0679,0.0044,0.1505,0.3405,0.0584,0.4717,0.9096
0:17:01,17200,-0.2284,-0.2098,0.0383,0.0093,0.0389,0.2114,0.0500,0.0183,0.2761
0:17:06,17300,-0.1215,-0.2056,0.0684,0.0107,0.0279,0.2505,0.0479,0.0254,0.0928
0:17:11,17400,-0.1227,-0.2033,0.0040,0.0023,0.0022,0.2008,0.0502,0.0456,0.1723
0:17:15,17500,-0.2939,-0.0814,0.0176,0.0022,0.0494,0.0920,0.0545,0.0364,0.4165
0:17:20,17600,-0.0844,-0.2027,0.2019,0.0025,0.0036,0.1863,0.0478,0.1030,0.1490
0:17:25,17700,-0.1177,-0.1658,0.0152,0.0017,0.0045,0.1826,0.0502,0.1119,0.1656
0:17:29,17800,-0.1076,-0.2444,0.0038,0.0042,0.0149,0.2495,0.0504,0.0075,0.2371
0:17:34,17900,-0.1075,-0.1880,0.0220,0.0072,0.0145,0.1791,0.0524,0.6041,0.7217
