Elapsed Time,Iteration,Total Iterations,D/latent_real,D/latent_fake,D/latent_reg,D/ref_real,D/ref_fake,D/ref_reg,G/latent_adv,G/latent_dom,G/latent_cyc,G/latent_id,G/latent_sty,G/latent_ds,G/ref_adv,G/ref_dom,G/ref_cyc,G/ref_id,G/ref_sty,G/ref_ds,G/lambda_ds
1:38:00,13000,100000,0.130490,0.130307,0.002455,0.102866,0.137025,0.001668,0.125345,6.981608,0.040030,0.031809,21.016006,0.015928,0.122645,6.395964,0.038764,0.030017,0.308158,0.000088,0.000000
1:38:46,13100,100000,0.112506,0.135161,0.001418,0.127717,0.116671,0.001151,0.144472,5.298211,0.048132,0.040187,20.751993,0.015868,0.141603,8.972397,0.042870,0.033691,0.456444,0.000094,0.000000
1:39:18,13200,100000,0.103943,0.149841,0.001906,0.104170,0.128232,0.002005,0.132825,14.763824,0.037557,0.033540,17.133152,0.015500,0.134294,5.421874,0.033558,0.028099,0.151984,0.000047,0.000000
1:39:50,13300,100000,0.129019,0.128379,0.001379,0.112438,0.128721,0.001077,0.124664,5.902741,0.034252,0.026047,18.578773,0.015751,0.127699,1.686210,0.034826,0.026877,0.435903,0.000127,0.000000
1:40:21,13400,100000,0.130905,0.128158,0.001812,0.116187,0.127010,0.001863,0.131470,3.775629,0.030652,0.024208,18.863167,0.015105,0.131939,6.514904,0.025834,0.021041,0.244183,0.000043,0.000000
1:40:53,13500,100000,0.131295,0.120739,0.001105,0.128386,0.119965,0.001082,0.136915,9.610270,0.043430,0.032599,18.781963,0.013643,0.134194,4.106886,0.036973,0.029031,0.348578,0.000072,0.000000
1:41:39,13600,100000,0.118674,0.131546,0.001187,0.121825,0.104530,0.000784,0.167276,6.919874,0.037593,0.034081,17.918491,0.015101,0.168057,11.008419,0.035935,0.027048,0.323083,0.000219,0.000000
1:42:33,13700,100000,0.125499,0.121514,0.001015,0.114346,0.123793,0.000842,0.134551,9.584959,0.036137,0.029572,15.725361,0.018420,0.132313,8.502806,0.029286,0.023965,0.217902,0.000139,0.000000
1:43:06,13800,100000,0.137987,0.118158,0.001327,0.134328,0.112002,0.001115,0.145607,12.446636,0.044668,0.037358,16.070015,0.014426,0.143297,8.918629,0.041482,0.030691,0.260294,0.000267,0.000000
1:43:38,13900,100000,0.109072,0.119042,0.002523,0.086241,0.104886,0.001839,0.164719,11.960443,0.042108,0.034507,17.851276,0.015013,0.165864,6.662683,0.039824,0.031809,0.230752,0.000059,0.000000
1:44:09,14000,100000,0.133509,0.118911,0.003746,0.101758,0.128443,0.003146,0.134032,13.986388,0.039487,0.030670,16.635391,0.014225,0.134518,6.421847,0.035217,0.026757,0.431303,0.000120,0.000000
1:47:31,14100,100000,0.130121,0.118285,0.002255,0.110932,0.125516,0.002340,0.125016,12.519835,0.035380,0.034782,19.242954,0.014543,0.125364,7.373477,0.033049,0.026012,0.328161,0.000109,0.000000
1:48:02,14200,100000,0.132582,0.121362,0.001647,0.130133,0.107271,0.001276,0.160601,8.908049,0.042953,0.031716,19.475998,0.015970,0.160855,4.516834,0.038562,0.028424,0.430150,0.000122,0.000000
1:48:34,14300,100000,0.121836,0.106620,0.002411,0.098552,0.121242,0.002599,0.144383,5.962782,0.036646,0.029506,17.615118,0.014576,0.139951,5.318011,0.033377,0.028037,0.565353,0.000112,0.000000
1:49:06,14400,100000,0.124523,0.130883,0.001585,0.120841,0.127640,0.001907,0.132710,10.442957,0.040105,0.029682,20.858774,0.011930,0.132571,7.119466,0.035508,0.027094,0.205791,0.000176,0.000000
1:49:37,14500,100000,0.128432,0.110634,0.001194,0.108419,0.121389,0.001353,0.142338,13.197601,0.034303,0.028986,18.176388,0.013717,0.136716,6.760784,0.030160,0.024731,0.472845,0.000137,0.000000
1:50:24,14600,100000,0.129662,0.126017,0.000879,0.121519,0.125913,0.001217,0.133567,7.181857,0.042001,0.034995,17.583393,0.015992,0.132201,5.572640,0.034807,0.027114,0.235306,0.000073,0.000000
1:51:22,14700,100000,0.120802,0.118715,0.002481,0.111372,0.127304,0.002882,0.137225,12.445064,0.031784,0.026048,19.370869,0.014512,0.128600,5.333338,0.027907,0.021980,0.371043,0.000143,0.000000
1:51:53,14800,100000,0.128506,0.115453,0.000998,0.123604,0.114526,0.001057,0.146089,11.002316,0.033412,0.026946,20.234179,0.013756,0.142845,1.508870,0.029149,0.024015,0.245838,0.000067,0.000000
1:52:25,14900,100000,0.130370,0.118968,0.001002,0.130506,0.095879,0.000757,0.165177,12.261292,0.043684,0.034875,19.601202,0.012072,0.165777,8.073754,0.036938,0.028820,0.159087,0.000029,0.000000
1:52:57,15000,100000,0.131152,0.150097,0.000621,0.130022,0.127716,0.001116,0.133197,6.012890,0.035384,0.029060,21.341749,0.011630,0.131565,8.535881,0.028373,0.023122,0.354213,0.000065,0.000000
1:53:42,15100,100000,0.121737,0.126340,0.000923,0.121932,0.126096,0.000934,0.129988,8.486894,0.032722,0.026108,18.986298,0.011972,0.128648,0.768789,0.029070,0.022559,0.427530,0.000107,0.000000
1:54:14,15200,100000,0.130113,0.147503,0.001215,0.121985,0.129568,0.001279,0.134555,19.659119,0.038088,0.027718,20.111446,0.015757,0.132491,7.530844,0.033248,0.025479,0.464613,0.000084,0.000000
1:54:46,15300,100000,0.125027,0.123712,0.000857,0.125806,0.118819,0.000818,0.137907,9.184888,0.039606,0.031748,15.666124,0.016133,0.137874,8.348197,0.037141,0.027716,0.060212,0.000065,0.000000
1:55:21,15400,100000,0.125311,0.118309,0.001590,0.115420,0.111273,0.001918,0.147723,4.028288,0.032468,0.027890,15.671755,0.012772,0.147527,4.633592,0.029281,0.023560,0.164993,0.000028,0.000000
1:55:52,15500,100000,0.108606,0.140441,0.001653,0.108740,0.138066,0.001338,0.120132,10.213482,0.030601,0.024885,13.912152,0.011376,0.120683,5.171491,0.026580,0.021081,0.174658,0.000050,0.000000
1:56:39,15600,100000,0.112378,0.114654,0.001558,0.113737,0.095432,0.001340,0.164731,8.326890,0.032438,0.024137,17.063456,0.017463,0.160210,6.842510,0.030992,0.022996,0.272616,0.000290,0.000000
1:57:34,15700,100000,0.132069,0.095549,0.000596,0.121453,0.098250,0.000491,0.159418,13.443127,0.029852,0.024316,16.585934,0.013853,0.158942,7.110840,0.021660,0.018102,0.240351,0.000086,0.000000
1:58:05,15800,100000,0.131732,0.124196,0.002376,0.113766,0.128361,0.002042,0.125448,8.734297,0.043753,0.038444,18.046432,0.013769,0.125420,9.705196,0.035947,0.031224,0.322823,0.000099,0.000000
1:58:37,15900,100000,0.129778,0.118226,0.000661,0.131416,0.113481,0.000628,0.147089,6.678265,0.034392,0.027962,17.220947,0.013221,0.144758,5.126364,0.029842,0.024118,0.232881,0.000069,0.000000
1:59:11,16000,100000,0.137820,0.121445,0.001753,0.120533,0.126148,0.001779,0.125242,8.496674,0.040639,0.033744,21.032167,0.015477,0.126189,3.055446,0.038006,0.030612,0.360867,0.000156,0.000000
2:02:38,16100,100000,0.125226,0.125606,0.003231,0.107366,0.134661,0.002466,0.125401,13.594467,0.036160,0.029135,20.152538,0.014634,0.121152,7.145079,0.029778,0.025913,0.637752,0.000157,0.000000
2:03:12,16200,100000,0.118563,0.125789,0.001607,0.113526,0.123346,0.001650,0.150893,12.258617,0.029733,0.022540,17.830166,0.016473,0.144480,11.412361,0.025005,0.018616,0.625429,0.000345,0.000000
2:03:44,16300,100000,0.142463,0.121305,0.002142,0.124524,0.129223,0.001612,0.123519,6.194081,0.035393,0.029032,15.309128,0.012347,0.122176,1.785925,0.032646,0.026564,0.212274,0.000064,0.000000
2:04:16,16400,100000,0.138033,0.120242,0.000934,0.124873,0.122761,0.001006,0.126818,10.115374,0.029644,0.021946,19.377525,0.011764,0.129005,4.761543,0.024491,0.018888,0.242646,0.000116,0.000000
2:04:48,16500,100000,0.125221,0.130827,0.001402,0.116370,0.121461,0.001188,0.137645,17.254295,0.034922,0.029377,16.087275,0.010871,0.139650,5.641649,0.030178,0.021639,0.215988,0.000080,0.000000
2:05:34,16600,100000,0.119807,0.149746,0.001401,0.108955,0.132140,0.001463,0.139715,11.042335,0.037617,0.029876,18.387720,0.010859,0.138232,8.235257,0.038051,0.033391,0.419742,0.000138,0.000000
2:06:28,16700,100000,0.145215,0.135201,0.001823,0.121169,0.137724,0.002155,0.122233,11.144076,0.031636,0.026103,17.632011,0.014263,0.125505,7.801071,0.028439,0.021480,0.471854,0.000128,0.000000
2:07:02,16800,100000,0.117343,0.133691,0.001698,0.111741,0.125977,0.001406,0.122970,8.185871,0.034853,0.028191,15.244867,0.011379,0.128808,3.893747,0.030981,0.024102,0.233836,0.000112,0.000000
2:07:34,16900,100000,0.138840,0.122192,0.002124,0.120067,0.126603,0.001832,0.129313,7.910113,0.038387,0.032770,15.421815,0.013160,0.127755,2.250063,0.031741,0.026047,0.444603,0.000131,0.000000
2:08:06,17000,100000,0.115160,0.120746,0.002116,0.110134,0.120037,0.002081,0.135903,12.108337,0.037699,0.029423,19.236826,0.012895,0.133786,5.162604,0.034056,0.025842,0.215426,0.000089,0.000000
2:08:53,17100,100000,0.125467,0.120002,0.001484,0.103493,0.123078,0.001408,0.133828,6.854535,0.033066,0.026311,15.841351,0.012141,0.132804,8.419210,0.031993,0.026714,0.168256,0.000130,0.000000
2:09:25,17200,100000,0.150962,0.108736,0.000194,0.140498,0.109002,0.000212,0.145447,8.705287,0.036625,0.029242,16.776844,0.011174,0.145622,7.060965,0.030148,0.024342,0.231974,0.000198,0.000000
2:09:57,17300,100000,0.112475,0.128954,0.001718,0.114722,0.108381,0.001398,0.155157,15.343422,0.032573,0.025208,21.067078,0.014164,0.153985,7.168478,0.027361,0.019864,0.722847,0.000394,0.000000
2:10:29,17400,100000,0.115884,0.123230,0.001020,0.117789,0.110718,0.001074,0.159944,2.539953,0.040571,0.029719,21.575459,0.014821,0.157464,2.055250,0.033767,0.022723,0.683510,0.000128,0.000000
2:11:03,17500,100000,0.144772,0.118810,0.002097,0.122647,0.129897,0.001789,0.121346,1.426478,0.033261,0.029243,16.260509,0.013173,0.121620,3.786035,0.029066,0.024671,0.284854,0.000094,0.000000
2:11:50,17600,100000,0.128012,0.124020,0.000712,0.125825,0.122870,0.000662,0.130759,7.184506,0.031414,0.025743,20.089293,0.012542,0.129551,3.391605,0.025727,0.020324,0.198487,0.000105,0.000000
2:12:44,17700,100000,0.120657,0.124189,0.001437,0.119384,0.116628,0.000985,0.145828,7.188510,0.030739,0.025189,18.449549,0.010367,0.147749,6.745017,0.028225,0.020572,0.437531,0.000186,0.000000
2:13:16,17800,100000,0.123042,0.119680,0.001242,0.114953,0.124950,0.001196,0.130969,10.876570,0.041686,0.034356,17.263683,0.012786,0.128553,12.763293,0.037624,0.028459,0.403868,0.000241,0.000000
2:13:48,17900,100000,0.116055,0.133868,0.000817,0.118777,0.119331,0.000817,0.142802,12.152872,0.036189,0.029352,17.660353,0.011445,0.143465,13.575901,0.029957,0.024752,0.261895,0.000094,0.000000
2:14:20,18000,100000,0.107749,0.133200,0.000490,0.110150,0.113174,0.000208,0.151239,8.880457,0.026397,0.021429,19.062603,0.013193,0.152260,5.996283,0.025008,0.019167,0.268900,0.000250,0.000000
