Elapsed Time,Iteration,Total Iterations,D/latent_real,D/latent_fake,D/latent_reg,D/ref_real,D/ref_fake,D/ref_reg,G/latent_adv,G/latent_dom,G/latent_trts,G/latent_cyc,G/latent_id,G/latent_sty,G/latent_ds,G/ref_adv,G/ref_dom,G/ref_trts,G/ref_cyc,G/ref_id,G/ref_sty,G/ref_ds,G/lambda_ds,G/lambda_dom,G/lambda_trts
0:55:30,23600,100000,0.131198,0.082921,0.013321,0.105217,0.111802,0.013488,0.186870,0.002152,4.886434,0.009604,0.010167,0.094366,0.001009,0.156532,0.000722,1.667146,0.009433,0.009765,0.392299,0.000279,0.000000,0.100000,0.000000
0:56:08,23700,100000,0.104906,0.095408,0.019329,0.098284,0.084601,0.016822,0.199062,0.546490,8.622437,0.010028,0.011369,1.420054,0.001319,0.228714,0.879243,2.973196,0.009983,0.011441,1.134382,0.000466,0.000000,0.100000,0.000000
0:56:45,23800,100000,0.128572,0.061616,0.022272,0.084597,0.099258,0.011478,0.244558,0.952093,8.891003,0.011757,0.011976,0.104694,0.000901,0.233467,3.940700,5.058311,0.010391,0.010558,1.329685,0.000353,0.000000,0.100000,0.000000
0:57:22,23900,100000,0.110006,0.089355,0.014274,0.116142,0.095816,0.022121,0.191007,1.604245,8.219688,0.009317,0.009162,0.125227,0.001063,0.160002,0.124541,5.167200,0.009139,0.008995,0.034032,0.000125,0.000000,0.100000,0.000000
0:58:21,24000,100000,0.109256,0.109505,0.015284,0.105711,0.112859,0.017010,0.156990,1.135331,7.030465,0.009886,0.009440,0.099102,0.000997,0.143936,1.081260,5.974041,0.009695,0.009277,0.027894,0.000045,0.000000,0.100000,0.000000
1:07:14,24100,100000,0.116349,0.083365,0.013832,0.096040,0.110014,0.012573,0.166989,0.014303,11.165102,0.009511,0.009801,0.111644,0.001139,0.147527,0.022590,1.511871,0.009298,0.009358,0.059063,0.000099,0.000000,0.100000,0.000000
1:07:51,24200,100000,0.118900,0.076313,0.023109,0.097321,0.122563,0.018175,0.172088,0.020304,10.170316,0.010022,0.010295,0.091046,0.001068,0.142307,2.906203,3.150824,0.009995,0.009832,0.083764,0.000202,0.000000,0.100000,0.000000
1:08:28,24300,100000,0.079455,0.090192,0.024342,0.078406,0.071596,0.033445,0.205801,0.000218,10.076849,0.015820,0.016145,0.100655,0.000922,0.169587,2.690594,8.666714,0.014657,0.014733,1.622427,0.000385,0.000000,0.100000,0.000000
1:09:04,24400,100000,0.081965,0.089283,0.024695,0.071793,0.088673,0.023222,0.200169,2.942376,7.994863,0.011867,0.012660,0.086486,0.000790,0.185204,1.850207,3.185852,0.011804,0.012446,0.597977,0.000182,0.000000,0.100000,0.000000
1:09:41,24500,100000,0.100653,0.070720,0.033300,0.094809,0.081321,0.018294,0.234488,0.927236,9.719940,0.010698,0.010917,0.091127,0.000768,0.213558,0.027989,7.748006,0.010918,0.010431,0.269604,0.000464,0.000000,0.100000,0.000000
1:10:34,24600,100000,0.125426,0.099752,0.021831,0.098241,0.130272,0.019073,0.146356,0.050949,7.675260,0.009377,0.009455,0.111731,0.000857,0.125390,0.006265,7.134091,0.009328,0.009221,0.107182,0.000050,0.000000,0.100000,0.000000
1:11:11,24700,100000,0.116197,0.092057,0.018447,0.096351,0.110454,0.017176,0.161815,0.007673,8.022076,0.010969,0.011280,0.096129,0.000965,0.154462,0.570903,8.099217,0.010513,0.010623,0.210059,0.000084,0.000000,0.100000,0.000000
1:11:48,24800,100000,0.096853,0.092542,0.064423,0.079298,0.124351,0.015563,0.175414,1.592845,4.235671,0.010077,0.011360,0.103199,0.001162,0.148257,0.809132,0.001711,0.009441,0.010097,0.915158,0.000307,0.000000,0.100000,0.000000
1:12:25,24900,100000,0.122842,0.089151,0.018815,0.103625,0.100963,0.015353,0.181324,1.167282,4.374478,0.008716,0.009082,0.109002,0.001093,0.170730,0.001300,7.935472,0.008602,0.008800,0.225552,0.000151,0.000000,0.100000,0.000000
1:13:02,25000,100000,0.107431,0.083872,0.013744,0.112843,0.085835,0.017009,0.226571,0.000696,11.206584,0.009501,0.009154,0.085948,0.000958,0.193563,0.000424,5.605091,0.008939,0.008670,0.390073,0.000358,0.000000,0.100000,0.000000
1:13:52,25100,100000,0.115846,0.121369,0.024261,0.101683,0.125931,0.019273,0.157028,0.000277,10.306598,0.009850,0.009970,0.096738,0.000808,0.140101,0.285295,7.391668,0.009503,0.009460,0.042863,0.000158,0.000000,0.100000,0.000000
1:14:51,25200,100000,0.099077,0.122623,0.014530,0.095335,0.119214,0.016230,0.147499,1.677424,4.977654,0.008544,0.008559,0.105869,0.001048,0.141955,0.000473,7.443972,0.008743,0.008381,0.056067,0.000134,0.000000,0.100000,0.000000
1:15:28,25300,100000,0.054013,0.164899,0.010480,0.078815,0.113593,0.019033,0.177356,0.006471,9.773895,0.009788,0.009665,0.085479,0.001191,0.167263,0.012564,1.648512,0.010038,0.009418,0.366917,0.000234,0.000000,0.100000,0.000000
1:16:05,25400,100000,0.099958,0.089538,0.021819,0.078250,0.089340,0.023463,0.201293,1.335688,12.080263,0.011389,0.011934,0.118391,0.000912,0.178003,3.676885,5.674168,0.010683,0.010617,1.447263,0.000122,0.000000,0.100000,0.000000
1:16:42,25500,100000,0.114106,0.089556,0.035747,0.102526,0.100895,0.033892,0.164193,2.163701,10.191826,0.009606,0.009858,0.090263,0.000942,0.153234,1.670195,5.929304,0.009350,0.008890,0.838234,0.000578,0.000000,0.100000,0.000000
1:17:34,25600,100000,0.098410,0.101399,0.026429,0.081532,0.124233,0.018680,0.175275,0.051863,9.371125,0.010100,0.010214,0.101394,0.000784,0.143495,0.019285,0.598944,0.009817,0.009808,1.105882,0.000598,0.000000,0.100000,0.000000
1:18:11,25700,100000,0.101502,0.088663,0.019302,0.090221,0.098712,0.022007,0.193327,0.000097,8.832281,0.011244,0.011097,0.101845,0.000795,0.174198,0.033794,9.788082,0.011092,0.010648,0.064573,0.000195,0.000000,0.100000,0.000000
1:18:48,25800,100000,0.106022,0.091505,0.173726,0.084057,0.138685,0.013021,0.151779,0.011147,8.288536,0.010443,0.010927,0.102284,0.000979,0.130046,0.029179,1.925073,0.009960,0.010074,0.654653,0.000267,0.000000,0.100000,0.000000
1:19:25,25900,100000,0.088825,0.086988,0.029353,0.089311,0.078486,0.041887,0.173665,0.603047,7.927072,0.010362,0.011191,0.090783,0.000780,0.161458,0.000041,6.062060,0.010321,0.010765,0.472430,0.000481,0.000000,0.100000,0.000000
1:20:02,26000,100000,0.126714,0.076614,0.033254,0.083133,0.116330,0.018808,0.174853,0.000154,11.038320,0.010697,0.010736,0.094224,0.000981,0.166198,0.057527,6.844337,0.009891,0.009764,0.325737,0.000242,0.000000,0.100000,0.000000
1:28:53,26100,100000,0.080542,0.112594,0.027230,0.090241,0.102656,0.030471,0.154948,6.199322,10.672687,0.012677,0.013347,0.090321,0.000848,0.147537,0.001596,7.553702,0.012702,0.012785,0.071563,0.000264,0.000000,0.100000,0.000000
1:29:29,26200,100000,0.130597,0.128166,0.022271,0.083493,0.151287,0.014390,0.146141,0.509997,12.004053,0.010021,0.009972,0.078587,0.000713,0.124762,0.085193,3.263864,0.010254,0.009613,0.049410,0.000068,0.000000,0.100000,0.000000
1:30:06,26300,100000,0.084463,0.096838,0.037050,0.090859,0.109548,0.023268,0.196003,1.267094,6.179641,0.011168,0.011480,0.081849,0.000772,0.151529,0.529519,5.957951,0.011251,0.010649,1.205364,0.000307,0.000000,0.100000,0.000000
1:31:05,26400,100000,0.097927,0.046576,0.028474,0.060193,0.052080,0.021047,0.288673,0.000026,15.454615,0.013423,0.012545,0.098570,0.000817,0.264611,0.710653,8.248863,0.012286,0.011425,1.193461,0.000077,0.000000,0.100000,0.000000
1:31:42,26500,100000,0.082676,0.075649,0.040422,0.058818,0.110989,0.021476,0.245089,0.008246,8.600111,0.014413,0.014729,0.088710,0.000988,0.222755,3.244549,7.357067,0.014258,0.014117,0.305263,0.000587,0.000000,0.100000,0.000000
1:32:35,26600,100000,0.092368,0.115802,0.016423,0.109192,0.087609,0.019299,0.176065,0.409158,11.013085,0.009798,0.009963,0.098217,0.000822,0.169810,0.969772,10.023964,0.009799,0.010115,0.093678,0.000213,0.000000,0.100000,0.000000
