Elapsed Time,Iteration,Total Iterations,D/latent_real,D/latent_fake,D/latent_reg,D/ref_real,D/ref_fake,D/ref_reg,G/latent_adv,G/latent_cyc,G/latent_id,G/latent_sty,G/latent_ds,G/ref_adv,G/ref_cyc,G/ref_id,G/ref_sty,G/ref_ds,G/lambda_ds
0:16:55,12200,100000,0.244641,0.231646,0.028994,0.196098,0.227096,0.032648,0.305898,0.011313,0.011444,0.165539,0.003337,0.302023,0.011257,0.010956,0.000099,0.000001,0.878000
0:17:32,12300,100000,0.230412,0.182476,0.023530,0.190558,0.190102,0.021096,0.348292,0.009677,0.009808,0.156367,0.003005,0.353986,0.009538,0.010285,0.000185,0.000001,0.877000
0:18:07,12400,100000,0.196251,0.233400,0.020310,0.158401,0.228382,0.015716,0.306613,0.009623,0.010166,0.146947,0.004228,0.309354,0.009356,0.009732,0.000093,0.000001,0.876000
0:18:44,12500,100000,0.212658,0.253928,0.019143,0.255481,0.168050,0.029134,0.358925,0.008867,0.009150,0.159385,0.004021,0.348902,0.008453,0.008989,0.000258,0.000001,0.875000
0:19:20,12600,100000,0.193403,0.275776,0.024909,0.168064,0.232825,0.023590,0.314529,0.012214,0.012926,0.146741,0.004147,0.305449,0.012189,0.012105,0.000052,0.000000,0.874000
0:19:55,12700,100000,0.183818,0.219838,0.015432,0.159771,0.206926,0.014722,0.340688,0.010220,0.010302,0.136600,0.004057,0.347821,0.009443,0.010134,0.000406,0.000001,0.873000
0:20:30,12800,100000,0.236193,0.224900,0.016303,0.198338,0.235526,0.016292,0.321512,0.008873,0.008660,0.145387,0.003372,0.314072,0.008612,0.008639,0.000314,0.000001,0.872000
0:21:05,12900,100000,0.273642,0.293402,0.011704,0.253780,0.188389,0.010008,0.379262,0.006895,0.007495,0.181769,0.004633,0.374923,0.006636,0.007608,0.000184,0.000001,0.871000
0:21:41,13000,100000,0.254896,0.221722,0.020243,0.237265,0.213785,0.015647,0.314201,0.008716,0.008606,0.147899,0.003970,0.312545,0.008346,0.009302,0.000109,0.000001,0.870000
0:30:55,13100,100000,0.232174,0.220483,0.015470,0.213532,0.213149,0.012297,0.298925,0.008723,0.008797,0.164883,0.004542,0.299999,0.008372,0.008864,0.000086,0.000001,0.869000
0:31:31,13200,100000,0.200309,0.222484,0.010963,0.209277,0.164581,0.008600,0.394144,0.008575,0.008447,0.153327,0.004486,0.400107,0.008516,0.008975,0.000056,0.000001,0.868000
