Elapsed Time,Iteration,D/loss_real,D/loss_fake,D/loss_gp,D/loss_cls,D/loss_dom,G/loss_fake,G/loss_rec,G/loss_cls,G/loss_dom,G/loss_rot
1:31:06,65900,-0.3350,-0.2863,0.2100,0.0043,2.7964,0.2705,0.0646,0.0184,2.8075,0.0432
1:31:11,66000,-0.6302,0.0864,0.1672,0.0058,2.8403,-0.0644,0.0672,0.2811,2.7685,0.0458
1:31:36,66100,-0.7357,0.0779,0.0767,0.0078,2.6912,-0.0687,0.0597,0.1225,2.7267,0.0431
1:31:41,66200,-0.2909,-0.1198,0.0898,0.0047,2.8031,0.1185,0.0470,0.0945,2.7993,0.0390
1:31:45,66300,-0.8640,0.2764,0.0251,0.0021,2.8609,-0.2512,0.0547,0.0457,2.7192,0.0471
1:31:50,66400,-0.8432,0.1822,0.0127,0.0110,2.8072,-0.1288,0.0518,0.0072,2.7752,0.0434
1:31:54,66500,-0.1698,-0.7016,0.2078,0.0016,2.6459,0.7099,0.0605,0.3886,2.7352,0.0453
1:31:59,66600,-0.3153,-0.1344,0.2075,0.0052,2.7806,0.2314,0.0558,0.0438,2.7408,0.0439
1:32:03,66700,-0.8017,-0.1550,0.2185,0.0074,2.8002,0.1083,0.0599,0.1244,2.8726,0.0511
1:32:08,66800,0.0945,-0.4483,0.1579,0.0052,2.6144,0.4067,0.0453,0.0127,2.6545,0.0374
1:32:12,66900,-0.6120,0.0731,0.4729,0.0046,2.7716,-0.0592,0.0541,0.3228,2.8039,0.0411
1:32:16,67000,-0.2106,-0.1607,0.1192,0.0067,2.7784,0.1629,0.0424,0.0143,2.7547,0.0349
1:32:42,67100,-0.3258,-0.2221,0.1743,0.0043,2.7243,0.2637,0.0495,0.0541,2.6523,0.0377
1:32:47,67200,-0.3217,-0.0815,0.0362,0.0064,2.7575,0.1312,0.0574,0.0087,2.7677,0.0400
1:32:51,67300,-0.5886,0.0747,0.0290,0.0032,2.6720,-0.1067,0.0519,0.3093,2.7553,0.0405
1:32:56,67400,-0.4833,-0.1988,0.0284,0.0047,2.7185,0.2555,0.0548,0.1133,2.6377,0.0468
1:33:00,67500,-0.6356,-0.2119,0.0805,0.0039,2.8759,0.2285,0.0616,0.3026,2.8809,0.0504
1:33:05,67600,-0.9005,0.0919,0.0389,0.0044,2.7296,-0.0766,0.0638,0.0029,2.7142,0.0513
1:33:09,67700,-0.2913,-0.2228,0.0788,0.0020,2.9615,0.2187,0.0500,0.0345,2.8996,0.0324
1:33:14,67800,-0.3963,-0.0418,0.0264,0.0037,2.7956,0.0806,0.0407,0.0459,2.6995,0.0511
1:33:18,67900,-0.8254,0.2934,0.3169,0.0050,2.7587,-0.2864,0.0899,0.0562,2.7292,0.0479
1:33:23,68000,-0.5002,-0.1937,0.0288,0.0057,2.6591,0.1369,0.0648,0.0195,2.6866,0.0467
1:33:49,68100,-1.4219,0.4796,0.0404,0.0020,2.7267,-0.4285,0.0644,0.1889,2.7211,0.0538
1:33:53,68200,-0.8935,0.1075,0.1832,0.0035,2.9144,0.0205,0.0543,0.3289,2.8747,0.0483
